D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\bulbasaur\0.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\bulbasaur\1.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\bulbasaur\2.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\ivysaur\0.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\ivysaur\1.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\ivysaur\2.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\ivysaur\3.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\venusaur\0.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\venusaur\1.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\venusaur\2.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\venusaur\3.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\venusaur\4.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
D:\Downloads\Datasets\Pokemon_Complete_Dataset\images\venusaur\5.jpg,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
